source_path,source_type,title,target_wiki_page,priority,status,assigned,word_count,images,links,links_verified,difficulty,keywords,notes
df-docs/df-docs/docs/introduction/introduction.md,df-docs,Introduction,Introduction,P0-Critical,Not Started,,667,0,37,0,beginner,"DreamFactory, REST API, API platform, database API, API generation, open source, API documentation, enterprise API","DreamFactory is an open-source REST API platform that auto-generates secure, documented APIs for databases, files, and services."
df-docs/df-docs/docs/introduction/introducing-rest-dreamfactory.md,df-docs,Introducing REST and DreamFactory,Introducing_Rest_Dreamfactory,P0-Critical,Not Started,,2519,1,3,0,beginner,"REST API, HTTP methods, GET POST PUT DELETE, API basics, DreamFactory overview, API automation, RESTful services","Learn REST API fundamentals and how DreamFactory automates API generation, security, documentation, and business logic integration."
df-docs/df-docs/docs/getting-started/installing-dreamfactory/docker-installation.md,df-docs,Docker Installation,Getting_Started/Docker_Installation,P0-Critical,Not Started,,1159,7,9,0,beginner,"Docker, docker-compose, DreamFactory installation, container deployment, NGINX, PHP, MySQL, Redis","Install DreamFactory using Docker and docker-compose with MySQL, Redis, and a sample PostgreSQL database for testing."
df-docs/df-docs/docs/Security/security-authentication.md,df-docs,Security and Authentication,Security/Security_Authentication,P1-High,Skip-EmptyDraft,,3,0,0,0,,,
df-docs/df-docs/docs/Security/sql-server-configuration.md,df-docs,Configuring Windows Authentication for SQL Server,Security/Sql_Server_Configuration,P1-High,Not Started,,173,0,1,0,,,
df-docs/df-docs/docs/Security/authentication-apis.md,df-docs,Authenticating your APIs,Security/Authentication_Apis,P1-High,Not Started,,2580,10,3,0,intermediate,"API authentication, OAuth, SAML, LDAP, Active Directory, SSO, OpenID Connect, Okta, Auth0, JWT","Configure API authentication with Active Directory, LDAP, OAuth, SAML 2.0, OpenID Connect, Okta, and Auth0 SSO providers."
df-docs/df-docs/docs/Security/security-faq.md,df-docs,Security FAQ,Security/Security_Faq,P1-High,Not Started,,1801,0,0,0,beginner,"security, compliance, HIPAA, GDPR, encryption, data protection, password recovery, hardening","Answers to common security questions about DreamFactory's platform, compliance, encryption, and best practices"
df-docs/df-docs/docs/Security/role-based-access.md,df-docs,Role Based Access Control (RBAC),Security/Role_Based_Access,P1-High,Not Started,,633,4,0,0,beginner,"RBAC, role-based access, API security, permissions, access control, API keys",Configure granular permissions for API access using DreamFactory's role-based access control system
df-docs/df-docs/docs/Security/rate-limiting.md,df-docs,Rate Limiting,Security/Rate_Limiting,P1-High,Converted,,650,0,0,0,beginner,"rate limiting, API limits, throttling, HTTP 429, API security",Expanded from stub with full rate limiting guide
df-docs/df-docs/docs/Security/creating-your-auth-service/okta-setup.md,df-docs,okta-setup,Security/Okta_Setup,P1-High,Not Started,,898,8,9,0,,,
df-docs/df-docs/docs/Security/creating-your-auth-service/azure-ad-oauth.md,df-docs,azure-ad-oauth,Security/Azure_Ad_Oauth,P1-High,Not Started,,1304,1,4,0,,,
df-docs/df-docs/docs/Security/creating-your-auth-service/github-oauth.md,df-docs,github-oauth,Security/Github_Oauth,P1-High,Not Started,,815,0,2,0,,,
df-docs/df-docs/docs/getting-started/dreamfactory-configuration/basic-configuration.md,df-docs,Basic Configuration,Getting_Started/Basic_Configuration,P1-High,Not Started,,613,0,0,0,,,
df-docs/df-docs/docs/getting-started/dreamfactory-configuration/date-time.md,df-docs,Date and Time Configuration,Getting_Started/Date_Time,P1-High,Not Started,,301,0,3,0,,,
df-docs/df-docs/docs/getting-started/installing-dreamfactory/windows-installation.md,df-docs,Windows Installation,Getting_Started/Windows_Installation,P1-High,Not Started,,3059,7,22,0,,,
df-docs/df-docs/docs/getting-started/installing-dreamfactory/installing-dreamfactory.md,df-docs,Installing DreamFactory,Getting_Started/Installing_Dreamfactory,P1-High,Not Started,,133,0,3,0,,,
df-docs/df-docs/docs/getting-started/installing-dreamfactory/helm-installation.md,df-docs,helm-installation,Getting_Started/Helm_Installation,P1-High,Not Started,,726,0,6,0,,,
df-docs/df-docs/docs/getting-started/installing-dreamfactory/installing-additional-drivers.md,df-docs,Installing Additional Drivers,Getting_Started/Installing_Additional_Drivers,P1-High,Not Started,,733,0,1,0,,,
df-docs/df-docs/docs/getting-started/installing-dreamfactory/raspberrypi-install.md,df-docs,raspberrypi-install,Getting_Started/Raspberrypi_Install,P1-High,Not Started,,516,2,2,0,,,
df-docs/df-docs/docs/getting-started/installing-dreamfactory/linux-installation.md,df-docs,Linux Installation,Getting_Started/Linux_Installation,P1-High,Not Started,,478,4,7,0,,,
df-docs/df-docs/docs/getting-started/optimizing-dreamfactory/webserver.md,df-docs,Web Server,Getting_Started/Webserver,P1-High,Converted,,600,0,0,0,beginner,"NGINX, Apache, PHP-FPM, web server optimization, reverse proxy",Expanded from stub with NGINX/Apache/PHP-FPM tuning guide
df-docs/df-docs/docs/getting-started/optimizing-dreamfactory/php-laravel.md,df-docs,PHP and Laravel,Getting_Started/Php_Laravel,P1-High,Converted,,580,0,0,0,beginner,"PHP optimization, Laravel, OPcache, performance tuning, PHP-FPM",Expanded from stub with PHP/Laravel optimization guide
df-docs/df-docs/docs/getting-started/optimizing-dreamfactory/database.md,df-docs,Database APIs,Getting_Started/Database,P1-High,Not Started,,529,1,9,0,,,
df-docs/df-docs/docs/system-settings/reporting.md,df-docs,Reporting,System_Settings/Reporting,P2-Medium,Skip-EmptyDraft,,0,0,0,0,,,
df-docs/df-docs/docs/system-settings/dreamfactory-platform-apis.md,df-docs,DreamFactory Platform APIs,System_Settings/Dreamfactory_Platform_Apis,P2-Medium,Skip-EmptyDraft,,0,0,0,0,,,
df-docs/df-docs/docs/system-settings/scheduler.md,df-docs,Scheduler,System_Settings/Scheduler,P2-Medium,Skip-EmptyDraft,,0,0,0,0,,,
df-docs/df-docs/docs/system-settings/logstash.md,df-docs,Logstash,System_Settings/Logstash,P2-Medium,Not Started,,1696,2,13,0,,,
df-docs/df-docs/docs/api-generation-and-connections/event-scripts.md,df-docs,Event Scripts,Event_Scripts,P2-Medium,Not Started,,719,0,2,0,intermediate,"event scripts, pre-process, post-process, PHP scripting, API customization, business logic, request validation","Execute custom scripts on API events to validate requests, modify responses, and add business logic to your APIs"
df-docs/df-docs/docs/api-generation-and-connections/api-keys.md,df-docs,API Keys,Api_Keys,P2-Medium,Not Started,,203,2,0,0,beginner,"API key, authentication, app configuration, DreamFactory API, access control, API security",Create and configure API keys in DreamFactory to authenticate requests and control access to your APIs
df-docs/df-docs/docs/api-generation-and-connections/interacting-with-api.md,df-docs,Interacting With the API,Interacting_With_Api,P2-Medium,Not Started,,2227,3,2,0,beginner,"REST API, CRUD operations, database API, HTTP requests, table joins, stored procedures, query parameters","Learn to interact with DreamFactory APIs using HTTP clients for CRUD operations, filtering, joins, and stored procedures"
df-docs/df-docs/docs/api-generation-and-connections/advanced-database-api-features.md,df-docs,Advanced Database API Features,Advanced_Database_Api_Features,P2-Medium,Not Started,,1143,4,2,0,advanced,"database transactions, SQL functions, virtual fields, rollback, nested inserts, data transformation","Use database transactions, functions, and virtual fields to extend DreamFactory API capabilities"
df-docs/df-docs/docs/api-generation-and-connections/api-creation-management.md,df-docs,API Creation and Management,Api_Creation_Management,P2-Medium,Converted,,550,0,0,0,beginner,"API creation, service management, DreamFactory services, API types, admin console",Expanded from stub with full API creation guide
df-docs/df-docs/docs/system-settings/the-system-api/05-api-key-management.md,df-docs,API Key Management,System_Settings/05_Api_Key_Management,P2-Medium,Not Started,,422,0,0,0,advanced,"API key management, system API, app management, bulk actions, scripted services, automation",Manage API keys programmatically via the System API and create bulk automation scripts for database fields
df-docs/df-docs/docs/system-settings/the-system-api/02-user-management.md,df-docs,User Management,System_Settings/02_User_Management,P2-Medium,Not Started,,177,0,0,0,intermediate,"user management, admin API, system API, user creation, user deletion, email invitation","Manage users and admins via the System API with endpoints for creating, updating, and deleting accounts"
df-docs/df-docs/docs/system-settings/the-system-api/01-system-api-brief.md,df-docs,Using the System APIs,System_Settings/01_System_Api_Brief,P2-Medium,Not Started,,737,0,0,0,intermediate,"System API, DreamFactory administration, user management, service management, role management, API automation, DevOps","Programmatically manage DreamFactory users, services, roles, and API keys through REST System APIs for DevOps automation."
